COUNTRY CODE,ecoregion,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AQ,Scotia Sea Islands tundra,1636,866,1132,1044,504,592,49937404.400977995110,67695720.293398533007,0.17060085836909871245,0.16032887975334018499
AQ,,30640,2218,20921,,9719,,44019745.378590078329,,0.15209200872496529843,0.00000000000000000000
AR,Alto Paraná Atlantic forests,50607,3736,17421,13185,33186,37422,235482984.02987729,325990003.34341099,0.12493561226878951065,0.10219239373601789709
AR,Araucaria moist forests,6530,508,1616,1679,4914,4851,202440386.64624809,193387386.70750383,0.12622309197651663405,0.12851997380484610347
AR,Central Andean dry puna,3009,461,1021,866,1988,2143,146180989.83050847,163233891.92422732,0.16591591591591591592,0.14217662147306705753
AR,Central Andean puna,22101,1395,11317,8205,10784,13896,128927791.502646939053,179349930.01221664,0.22511477180664326222,0.21170483460559796438
AR,Dry Chaco,117084,3447,24723,11371,92361,105713,203029892.54893922,277939823.79829866,0.06918055057642597030,0.03957359034087878087
AR,Espinal,85911,2741,12700,5795,73211,80116,297498887.06219227,364960916.40884171,0.03464220550376165363,0.01928760117245455532
AR,High Monte,18014,1814,9281,6553,8733,11461,118916093.70489619,174832385.65560120,0.16041378305529248925,0.13915603532875368008
AR,Humid Chaco,41966,2106,13640,8611,28326,33355,184819066.40613830,249737474.71762856,0.12382888699618100393,0.09391623198884470382
AR,Humid Pampas,190276,7285,31072,16200,159204,174076,334577722.83630095,413374027.89211461,0.04547996057250566338,0.02421391816679470953
AR,Low Monte,47290,2731,13111,7892,34179,39398,177337351.99830831,250812160.47367308,0.09195179789962735324,0.06873039683621982817
AR,Magellanic subpolar forests,35706,3921,15667,13101,20039,22605,155285137.96000672,185171872.15594018,0.11407352395098403268,0.10416077988132240746
AR,Paraná flooded savanna,24948,1961,4969,3245,19979,21703,188282472.72727273,226137939.39393939,0.08554999561056974805,0.05144927536231884058
AR,Patagonian steppe,103072,4104,28896,16471,74176,86601,193099712.35641105,327335137.06923316,0.08734983114654265626,0.05481342113515208529
AR,Rock and Ice,2,2,2,2,0,0,0.00000000000000000000,0.00000000000000000000,,
AR,Southern Andean Yungas,43515,1858,14430,10479,29085,33036,185843471.35470527,241293504.19855222,0.14272018241650040163,0.11750305997552019584
AR,Southern Andean steppe,7242,975,3501,2402,3741,4840,120563779.28748964,198765252.02982601,0.23182466143977191732,0.18022225801256240941
AR,Southern Cone Mesopotamian savanna,16216,1292,4459,3551,11757,12665,165786846.57128762,186705594.07992107,0.11046951261428473225,0.09267834373531977720
AR,Uruguayan savanna,263,111,105,73,158,190,112102521.67300380,172646582.50950570,0.17592592592592592593,0.12987012987012987013
AR,Valdivian temperate forests,37586,2153,8536,5029,29050,32557,260581643.71840579,321095366.06183153,0.03656567575268306582,0.02532910202162670428
AR,,70387,7089,23783,,46604,,236766524.22748519,,0.08963159893657424991,0.00000000000000000000
AS,Samoan tropical moist forests,783,133,536,473,247,310,5659475.862068965517,10319889.655172413793,0.03519061583577712610,0.03000000000000000000
AS,,508,96,331,,177,,28198204.724409448819,,0.02083333333333333333,
AT,Alps conifer and mixed forests,44041,3601,9561,5336,34480,38705,293399405.89904861,355578406.44853659,0.01433366347529437658,0.01129773292159373352
AT,Central European mixed forests,1663,457,677,571,986,1092,122038986.89116055,130202617.91942273,0.01198630136986301370,0.00483870967741935484
AT,Pannonian mixed forests,50191,4303,13783,9660,36408,40531,253475608.80635971,298765262.80807316,0.02915742517506915543,0.02442765833817547937
AT,Western European broadleaf forests,21757,2436,4824,2495,16933,19262,420366180.63152089,496630527.81173875,0.01425020712510356255,0.01088435374149659864
AU,Antipodes Subantarctic Islands tundra,1152,254,734,711,418,441,56209050.000000000000,59757000.000000000000,0.01140684410646387833,0.02719406674907292954
AU,Arnhem Land tropical savanna,103445,3383,35954,29759,67491,73686,275033832.96631060,330537649.83517811,0.06286591328242007154,0.05530672544789419379
AU,Australian Alps montane grasslands,6209,1276,1589,1907,4620,4302,255484577.35545176,197083326.01062973,0.02431672025723472669,0.04096989966555183946
AU,Brigalow tropical savanna,92499,3528,19870,9799,72629,82700,291667386.19012097,373331285.83011708,0.02654027236369159115,0.01434471525798382875
AU,Cape York Peninsula tropical savanna,37751,1351,19138,13662,18613,24089,155367237.40298270,215714551.11652671,0.08752975645486174693,0.08593750000000000000
AU,Carnarvon xeric shrublands,13409,1076,7522,6056,5887,7353,80039957.401745096577,151845477.39577895,0.03980162767039674466,0.02989403234802007808
AU,Carpentaria tropical savanna,12266,1037,7073,4127,5193,8139,112110085.895972607207,242736503.24474156,0.04274113121527283089,0.03552589083862633222
AU,Central Ranges xeric scrub,31043,2002,15912,12976,15131,18067,190778748.13645588,250489308.58486615,0.09220605132133282267,0.08839636065715148118
AU,Coolgardie woodlands,5472,584,3122,2118,2350,3354,89226931.578947368421,197410563.15789474,0.05099236641221374046,0.03814303638644918444
AU,Eastern Australia mulga shrublands,27037,1358,11787,7271,15250,19766,131176428.50908015,220436732.83278470,0.11172309007169650064,0.09669466382516401320
AU,Eastern Australian temperate forests,1271188,19608,134567,75625,1136621,1195563,419267950.66284452,516937755.77743025,0.01661008051884276389,0.01090978178798564580
AU,Einasleigh upland savanna,36340,3639,14808,13353,21532,22987,206031320.63841497,229416070.26967529,0.10127566345100533588,0.09172198889039425552
AU,Esperance mallee,14684,1468,8588,6853,6096,7831,88265296.213565785889,155236516.91637156,0.08924139419445343693,0.08338842194730380584
AU,Eyre and York mallee,17500,1615,7533,4973,9967,12527,178119791.17714286,203325465.60000000,0.04376224689745264533,0.04518971152479749893
AU,Gibson desert,345,61,270,172,75,173,36159777.391304347826,88898086.956521739130,0.13194444444444444444,0.09361702127659574468
AU,Great Sandy-Tanami desert,13640,1838,7990,5422,5650,8218,78760941.466275659824,183539494.66275660,0.05839038883865133704,0.03800305654610290372
AU,Great Victoria desert,1233,263,941,545,292,688,59319170.802919708029,207616327.00729927,0.03972366148531951641,0.05869324473975636766
AU,Jarrah-Karri forest and shrublands,19947,2022,9021,7708,10926,12239,162933355.63242593,190191063.43811099,0.04327863916905012795,0.03674980786697407951
AU,Kimberly tropical savanna,98650,2316,26802,14378,71848,84272,663776264.27166751,770367142.01723264,0.03979498804918315551,0.03059538166063691992
AU,Lord Howe Island subtropical forests,2241,383,1415,1484,826,757,89690602.409638554217,82599171.084337349398,0.08126036484245439469,0.07031250000000000000
AU,Mitchell grass downs,31591,1491,17110,9084,14481,22507,99455324.161944857713,225067306.81523219,0.17530930367591227835,0.12135674730399300495
AU,Mount Lofty woodlands,63188,3660,13683,10358,49505,52830,290557582.93346838,322569771.52623916,0.01668537508799299861,0.01251703151966572804
AU,Murray-Darling woodlands and mallee,128311,3778,28698,14485,99613,113826,335642064.49641886,456325020.35211322,0.05695865302642796249,0.03401337986719611370
AU,Naracoorte woodlands,23687,1936,6766,4821,16921,18866,333362510.74429012,379873753.26550429,0.03930867320054800295,0.02318141549365094990
AU,Nullarbor Plains xeric shrublands,2311,461,1721,1317,590,994,65350440.155776720035,159175531.28515794,0.04080000000000000000,0.10649350649350649351
AU,Pilbara shrublands,13674,770,5387,3675,8287,9999,116230114.962702939886,272498466.34488811,0.03063501724487725705,0.03405434393993564533
AU,Queensland tropical rain forests,193517,7140,74147,64034,119370,129483,265264513.22829519,309354594.36018541,0.06813811942238075663,0.06512722291280854410
AU,Simpson desert,28393,1257,16624,7450,11769,20943,95903388.356284999824,216779605.33934420,0.15828071879553181156,0.12201684604585868039
AU,Southeast Australia temperate forests,1260812,15266,95858,48927,1164954,1211885,485904157.14825049,585916568.11134412,0.01242803305674630034,0.00720086296379215598
AU,Southeast Australia temperate savanna,153707,4660,34194,13062,119513,140645,325720096.19340694,456181236.18572999,0.04887097376180345613,0.02318449460255152110
AU,Southwest Australia savanna,20442,1657,9439,5693,11003,14749,98670913.296154975051,206101616.67155856,0.05283532869739766291,0.04536594010278220805
AU,Southwest Australia woodlands,40467,2647,15034,11937,25433,28530,174852654.93364964,219431077.29260879,0.06799885448817895440,0.06764793339280404401
AU,Swan Coastal Plain Scrub and Woodlands,100466,4139,16321,13744,84145,86722,276097177.80741743,283319856.95459160,0.01196003459420091948,0.01196127038473937548
AU,Tasmanian Central Highland forests,65424,3718,15380,13994,50044,51430,275113592.66324285,269465492.44314013,0.04585948207458703022,0.04539095014610820862
AU,Tasmanian temperate forests,30694,2580,10392,8352,20302,22342,173784631.78471362,210337044.94689516,0.04322569622415855117,0.03851288482543792225
AU,Tasmanian temperate rain forests,60286,3516,22291,19031,37995,41255,199807137.17944465,246579468.90488671,0.08235193719064686807,0.07940471839850570512
AU,Tirari-Sturt stony desert,32030,2031,17260,8446,14770,23584,126848487.74274118,266761607.69278801,0.10151137059183577381,0.06339132382587919062
AU,Victoria Plains tropical savanna,6449,987,3522,2377,2927,4072,111473872.16622732,206008722.22049930,0.11342155009451795841,0.08995024875621890547
AU,Western Australian Mulga shrublands,7159,548,3777,2184,3382,4975,78597581.561670624389,198569418.52213996,0.06438758389261744966,0.03998655913978494624
AU,,283452,14838,72014,,211438,,341912401.47326531,,0.04488562978295532473,0.00000000000000000000
AW,Amazon-Orinoco-Southern Caribbean mangroves,18704,1602,6255,5103,12449,13601,327966191.44568007,322962474.76475620,0.04254725535328171863,0.04387019230769230769
AW,Caribbean shrublands,708,46,30,60,678,648,90513030.508474576271,99645803.389830508475,0.00145985401459854015,0.00000000000000000000
AW,,4416,1199,2182,,2234,,248774321.73913043,,0.04626334519572953737,
AZ,Azerbaijan shrub desert and steppe,7400,392,3102,1713,4298,5687,201966608.43243243,271189868.10810811,0.05451197053406998158,0.05910642258765125659
AZ,Caspian Hyrcanian mixed forests,1562,121,699,701,863,861,244667431.49807939,220758527.01664533,0.07761194029850746269,0.08252788104089219331
AZ,Caucasus mixed forests,1921,158,1129,412,792,1509,130123977.09526288,172304448.09994794,0.04253393665158371041,0.06485849056603773585
AZ,Eastern Anatolian montane steppe,540,58,226,187,314,353,80710080.000000000000,147039040.00000000,0.04932735426008968610,0.08369098712446351931
AZ,Lake,916,167,462,343,454,573,127488199.12663755,206130120.52401747,0.08482142857142857143,0.06371191135734072022
BA,Balkan mixed forests,80,52,50,25,30,55,78681240.000000000000,130920840.00000000,0.00000000000000000000,0.00000000000000000000
BA,Dinaric Mountains mixed forests,2438,372,1060,844,1378,1594,111095870.05742412,145439551.10746514,0.03633004926108374384,0.03103837471783295711
BA,Illyrian deciduous forests,2216,490,1252,923,964,1293,66012485.198555956679,105115191.33574007,0.05602455871066768995,0.04616384915474642393
BA,Pannonian mixed forests,543,136,313,124,230,419,93794121.546961325967,207525958.01104972,0.00000000000000000000,0.00470588235294117647
BA,,2,2,1,,1,,15724800.000000000000,,0.00000000000000000000,
BB,Caribbean shrublands,15073,1351,4537,3120,10536,11953,263789328.62734691,315299130.79015458,0.07639463664956133091,0.05607548327707885855
BB,,2015,513,824,,1191,,259275165.85607940,,0.10335195530726256983,0.00000000000000000000
BD,Lower Gangetic Plains moist deciduous forests,33628,694,2990,1844,30638,31784,365425899.27441418,480316091.16212680,0.02602649628864042093,0.01830013442502749603
BD,Meghalaya subtropical forests,17,13,3,10,14,7,101103247.058823529412,22768941.176470588235,0.00000000000000000000,0.12500000000000000000
BD,Mizoram-Manipur-Kachin rain forests,151,40,60,57,91,94,188313663.57615894,153360572.18543046,0.11570247933884297521,0.14400000000000000000
BD,Myanmar Coast mangroves,247,70,46,59,201,188,130431818.62348178,213229953.03643725,0.06607929515418502203,0.11009174311926605505
BD,Myanmar coastal rain forests,1,1,0,1,1,0,123033600.000000000000,0.00000000000000000000,0.00000000000000000000,
BD,Sundarbans freshwater swamp forests,2562,94,108,122,2454,2440,244125021.07728337,225800194.84777518,0.00443369609028617493,0.00404858299595141700
BD,Sundarbans mangroves,3352,215,1035,910,2317,2442,117457165.63245823,142082196.65871122,0.09262268443288917777,0.07503192848020434227
BD,Terai-Duar savanna and grasslands,106,32,35,41,71,65,131703758.49056604,102808664.15094340,0.21111111111111111111,0.23529411764705882353
BD,,1767,145,286,,1481,,124138366.04414261,,0.02258064516129032258,
BE,Atlantic mixed forests,187931,5640,12442,6820,175489,181111,611467781.65177645,659401112.85950695,0.00238068374139681823,0.00164269467854827545
BE,Western European broadleaf forests,12206,1015,1780,861,10426,11345,403902402.88382763,490500650.04096346,0.00934752429430819065,0.00729356603282104715
BE,,5690,342,183,,5507,,706512281.75746924,,0.00252570810030669313,
BF,Sahelian Acacia savanna,16,9,12,6,4,10,2079000.000000000000,34101000.000000000000,0.00000000000000000000,0.00000000000000000000
BF,West Sudanian savanna,1812,149,598,308,1214,1504,121492323.17880795,211772789.40397351,0.01494768310911808670,0.01237623762376237624
BG,Aegean and Western Turkey sclerophyllous and mixed forests,29,14,13,12,16,17,174542896.55172414,161871889.65517241,0.00000000000000000000,0.00000000000000000000
BG,Balkan mixed forests,56324,1850,13237,9285,43087,47039,308009373.19792628,379748702.62055252,0.04523912998489269676,0.04917359413202933985
BG,East European forest steppe,3871,417,1147,1215,2724,2656,353785345.38878843,351634474.19271506,0.07511885895404120444,0.07585985213757634201
BG,Euxine-Colchic broadleaf forests,38,24,15,23,23,15,352714357.89473684,185960084.21052632,0.03846153846153846154,0.05555555555555555556
BG,Pontic steppe,2029,425,745,752,1284,1277,301405441.89255791,272761308.23065550,0.08873056994818652850,0.08775376555337262606
BG,Rodope montane mixed forests,32613,1343,6043,5308,26570,27305,308957434.93698832,337036857.40042314,0.03000277161862527716,0.03313324515888357581
BG,,3952,700,1385,,2567,,236116705.26315789,,0.08394160583941605839,
BH,Persian Gulf desert and semi-desert,1276,152,228,291,1048,985,174187816.92789969,207132759.87460815,0.00184162062615101289,0.00293542074363992172
BH,,1392,200,254,,1138,,214190131.03448276,,0.00931414055884843353,
BI,Albertine Rift montane forests,475,49,132,90,343,385,107763536.84210526,422447979.78947368,0.01694915254237288136,0.00516795865633074935
BI,Central Zambezian Miombo woodlands,296,46,175,118,121,178,201928475.67567568,323738756.75675676,0.00769230769230769231,0.00000000000000000000
BI,Lake,96,49,64,29,32,67,101932200.00000000,260387100.00000000,0.00000000000000000000,0.00000000000000000000
BI,Victoria Basin forest-savanna mosaic,21,8,14,10,7,11,10651885.714285714286,58270628.571428571429,0.00000000000000000000,0.00000000000000000000
BJ,Guinean forest-savanna mosaic,860,105,419,287,441,573,121025302.32558140,294200539.53488372,0.01972386587771203156,0.04019292604501607717
BJ,Nigerian lowland forests,23,4,3,4,20,19,31520973.913043478261,20818643.478260869565,0.00000000000000000000,0.00000000000000000000
BJ,West Sudanian savanna,713,75,368,149,345,564,52379606.171107994390,207714324.82468443,0.01237623762376237624,0.02970297029702970297
BJ,,3,2,3,,0,,0.00000000000000000000,,,
BL,Bahamian-Antillean mangroves,487,120,234,158,253,329,198183503.90143737,336588142.91581109,0.00977198697068403909,0.01058201058201058201
BL,,169,84,106,,63,,78698641.420118343195,,0.00000000000000000000,
BM,Bermuda subtropical conifer forests,32884,492,868,955,32016,31929,1273920680.20922029,1251703176.64517699,0.00294601048159518715,0.00310819631367917198
BM,,60216,1206,3405,,56811,,1218936325.22917497,,0.00417851446008738470,
BN,Borneo lowland rain forests,1276,237,641,401,635,875,59417943.573667711599,135528285.89341693,0.01731025299600532623,0.02637130801687763713
BN,Borneo montane rain forests,13,1,13,13,0,0,691200.000000000000,604800.000000000000,,
BN,Borneo peat swamp forests,706,157,305,298,401,408,94185790.368271954674,98778574.504249291785,0.00000000000000000000,0.00000000000000000000
BN,Sunda Shelf mangroves,11,11,7,8,4,3,21340800.000000000000,128657454.54545455,0.00000000000000000000,0.00000000000000000000
BN,,45,20,24,,21,,38282880.000000000000,,0.00000000000000000000,
BO,Beni savanna,10355,587,4018,3299,6337,7056,110502162.356349589570,150142348.855625301787,0.16408529741863075196,0.15163667895079124214
BO,Bolivian Yungas,16684,1056,8182,6736,8502,9948,143967521.45768401,205616163.79765044,0.23353857298080405650,0.22737046542276479157
BO,Bolivian montane dry forests,14259,1146,7290,6603,6969,7656,124335350.305070481801,151685425.12097623,0.23627809722948248824,0.23537863421230561190
BO,Central Andean dry puna,4200,837,3221,2583,979,1617,34921584.000000000000,93091309.714285714286,0.17978042086001829826,0.16445623342175066313
BO,Central Andean puna,4445,791,2350,1518,2095,2927,123374379.48256468,191632945.24184477,0.22669735327963176064,0.19779063650710152551
BO,Central Andean wet puna,8298,1223,4402,2920,3896,5378,87836834.707158351410,160787526.24728850,0.22001003848084323239,0.13853455947789973302
BO,Cerrado,149,19,53,39,96,110,80549154.362416107383,209170920.80536913,0.00000000000000000000,0.00000000000000000000
BO,Chiquitano dry forests,11321,1019,3406,2786,7915,8535,194830931.54314990,220621984.06501192,0.09850334359409829105,0.09050594638177786737
BO,Dry Chaco,6892,623,3169,2199,3723,4693,131142425.53685432,202177742.54207777,0.24705279343926191697,0.18988764044943820225
BO,Lake,1275,524,889,513,386,762,67060495.058823529412,214007785.41176471,0.29938650306748466258,0.18066406250000000000
BO,Madeira-Tapajós moist forests,618,109,321,224,297,394,76002640.776699029126,154737646.60194175,0.08045977011494252874,0.12007874015748031496
BO,Pantanal,261,40,201,55,60,206,24884193.103448275862,102789186.20689655,0.10344827586206896552,0.07207207207207207207
BO,Southern Andean Yungas,2567,549,1495,1095,1072,1472,90586411.530970003896,150303822.98402805,0.23814541622760800843,0.21741221741221741222
BO,Southwest Amazon moist forests,6501,634,2398,1266,4103,5235,147528059.80618366,259524229.25703738,0.13606464950197331329,0.09932885906040268456
BQ,Amazon-Orinoco-Southern Caribbean mangroves,8991,979,2521,1928,6470,7063,205745691.29129129,232795127.92792793,0.05075653370013755158,0.03791036998436685774
BQ,Caribbean shrublands,12063,815,2095,1542,9968,10521,263709524.19796071,284173453.36980851,0.03510737628384687208,0.02940911141181777176
BQ,Lesser Antillean dry forests,1892,63,155,168,1737,1724,113705961.94503171,120440458.35095137,0.01523702031602708804,0.01534963047185901080
BQ,,3987,650,1051,,2936,,218219983.74717833,,0.01935081148564294632,
BR,Alto Paraná Atlantic forests,199693,6314,30735,20457,168958,179236,418144428.93040818,473839732.06872549,0.05103391143435038947,0.03865890311973106850
BR,Amazon-Orinoco-Southern Caribbean mangroves,1397,216,580,433,817,964,101382328.99069435,143818211.59627774,0.09900990099009900990,0.11820534943917169974
BR,Araucaria moist forests,55634,2103,10512,6207,45122,49427,175797066.19692993,227023768.14178380,0.04677532246775322468,0.03474550441938433404
BR,Atlantic Coast restingas,8199,924,1858,1577,6341,6622,136847188.58397366,132881619.31942920,0.06934715606612496498,0.06467115199780310312
BR,Atlantic dry forests,4027,566,2014,1575,2013,2452,81302056.717159175565,106711509.31214303,0.16553153686704175304,0.15832859579306424105
BR,Bahia coastal forests,38575,1702,14198,10688,24377,27887,139666062.51717434,189911820.69215813,0.12878857669276830953,0.11755158822165546024
BR,Bahia interior forests,41876,1754,6712,4280,35164,37596,187959356.19447894,245122055.05778966,0.03828263823560154698,0.03186027783370243608
BR,Caatinga,50455,1718,19224,13131,31231,37324,136843542.76880388,215204436.74561490,0.11814517090857047444,0.10336252805774393733
BR,Caatinga Enclaves moist forests,6029,554,2110,2097,3919,3932,209499707.67954885,184828717.20019904,0.15288788221970554926,0.14554697797025042365
BR,Campos Rupestres montane savanna,22248,1881,5960,5210,16288,17038,171642586.40776699,208207801.94174757,0.11053138138898738666,0.10475954387704511651
BR,Cerrado,181866,6062,50230,27008,131636,154858,163691948.45435650,254666978.72059648,0.09450886295398299016,0.06659830095673149756
BR,Chiquitano dry forests,2433,390,1462,1158,971,1275,40705479.654747225647,87017513.193588162762,0.15540540540540540541,0.15030504714364947310
BR,Dry Chaco,6,5,5,1,1,5,120542400.00000000,853012800.00000000,0.00000000000000000000,0.00000000000000000000
BR,Fernando de Noronha-Atol das Rocas moist forests,705,169,601,601,104,104,46817402.553191489362,46764459.574468085106,0.08641975308641975309,0.08641975308641975309
BR,Guianan Highlands moist forests,103,47,80,71,23,32,51194935.922330097087,62698718.446601941748,0.15254237288135593220,0.24615384615384615385
BR,Guianan moist forests,392,38,194,157,198,235,80391232.653061224490,105719436.73469388,0.01898734177215189873,0.01488095238095238095
BR,Guianan piedmont and lowland moist forests,277,67,154,133,123,144,57846203.610108303249,81633651.985559566787,0.29411764705882352941,0.28959276018099547511
BR,Guianan savanna,4523,358,2356,1776,2167,2747,90999505.814724740217,143725301.61397303,0.14960629921259842520,0.20432020330368487929
BR,Gurupa varzeá,38,21,25,25,13,13,17575578.947368421053,16545600.000000000000,0.34782608695652173913,0.16666666666666666667
BR,Humid Chaco,213,49,111,95,102,118,74172574.647887323944,110663391.54929577,0.19540229885057471264,0.16483516483516483516
BR,Iquitos varzeá,929,140,569,292,360,637,58643186.221743810549,136350825.40365985,0.26066350710900473934,0.15628815628815628816
BR,Japurá-Solimoes-Negro moist forests,16501,1188,8323,7327,8178,9174,99588872.819829101267,121553961.38415854,0.17124870507610168141,0.19211784667592164122
BR,Juruá-Purus moist forests,394,48,311,315,83,79,39052800.000000000000,37942976.649746192893,0.00000000000000000000,0.00000000000000000000
BR,Madeira-Tapajós moist forests,21260,1119,10493,6953,10767,14307,100682468.635936030103,210161099.37911571,0.23992801579008475560,0.17830823454021147068
BR,Marajó varzeá,951,156,458,409,493,542,95242962.776025236593,79440121.135646687697,0.05965463108320251177,0.03810975609756097561
